carbon_intensity_forecast,carbon_intensity_actual,carbon_intensity_index,time
70,65,low,2024-04-02 23:00:00+00:00
68,67,low,2024-04-02 23:30:00+00:00
68,69,low,2024-04-03 00:00:00+00:00
70,69,low,2024-04-03 00:30:00+00:00
71,68,low,2024-04-03 01:00:00+00:00
71,69,low,2024-04-03 01:30:00+00:00
70,69,low,2024-04-03 02:00:00+00:00
79,67,low,2024-04-03 02:30:00+00:00
72,66,low,2024-04-03 03:00:00+00:00
73,63,low,2024-04-03 03:30:00+00:00
67,70,low,2024-04-03 04:00:00+00:00
62,77,low,2024-04-03 04:30:00+00:00
67,98,low,2024-04-03 05:00:00+00:00
70,111,moderate,2024-04-03 05:30:00+00:00
95,112,moderate,2024-04-03 06:00:00+00:00
113,109,low,2024-04-03 06:30:00+00:00
111,104,low,2024-04-03 07:00:00+00:00
103,103,low,2024-04-03 07:30:00+00:00
99,100,low,2024-04-03 08:00:00+00:00
101,96,low,2024-04-03 08:30:00+00:00
93,92,low,2024-04-03 09:00:00+00:00
87,84,low,2024-04-03 09:30:00+00:00
94,81,low,2024-04-03 10:00:00+00:00
84,78,low,2024-04-03 10:30:00+00:00
83,74,low,2024-04-03 11:00:00+00:00
81,68,low,2024-04-03 11:30:00+00:00
78,59,low,2024-04-03 12:00:00+00:00
72,60,low,2024-04-03 12:30:00+00:00
62,64,low,2024-04-03 13:00:00+00:00
61,66,low,2024-04-03 13:30:00+00:00
100,64,low,2024-04-03 14:00:00+00:00
67,62,low,2024-04-03 14:30:00+00:00
71,64,low,2024-04-03 15:00:00+00:00
66,62,low,2024-04-03 15:30:00+00:00
72,65,low,2024-04-03 16:00:00+00:00
72,62,low,2024-04-03 16:30:00+00:00
72,71,low,2024-04-03 17:00:00+00:00
68,79,low,2024-04-03 17:30:00+00:00
71,85,low,2024-04-03 18:00:00+00:00
83,85,low,2024-04-03 18:30:00+00:00
89,82,low,2024-04-03 19:00:00+00:00
88,76,low,2024-04-03 19:30:00+00:00
89,73,low,2024-04-03 20:00:00+00:00
79,65,low,2024-04-03 20:30:00+00:00
73,59,low,2024-04-03 21:00:00+00:00
71,61,low,2024-04-03 21:30:00+00:00
78,56,low,2024-04-03 22:00:00+00:00
85,57,low,2024-04-03 22:30:00+00:00
64,57,low,2024-04-03 23:00:00+00:00
60,59,low,2024-04-03 23:30:00+00:00
61,66,low,2024-04-04 00:00:00+00:00
61,60,low,2024-04-04 00:30:00+00:00
70,57,low,2024-04-04 01:00:00+00:00
64,57,low,2024-04-04 01:30:00+00:00
60,57,low,2024-04-04 02:00:00+00:00
60,60,low,2024-04-04 02:30:00+00:00
59,62,low,2024-04-04 03:00:00+00:00
60,67,low,2024-04-04 03:30:00+00:00
60,77,low,2024-04-04 04:00:00+00:00
64,104,low,2024-04-04 04:30:00+00:00
80,127,moderate,2024-04-04 05:00:00+00:00
118,142,moderate,2024-04-04 05:30:00+00:00
142,152,moderate,2024-04-04 06:00:00+00:00
147,147,moderate,2024-04-04 06:30:00+00:00
156,144,moderate,2024-04-04 07:00:00+00:00
151,139,moderate,2024-04-04 07:30:00+00:00
133,133,moderate,2024-04-04 08:00:00+00:00
137,131,moderate,2024-04-04 08:30:00+00:00
130,129,moderate,2024-04-04 09:00:00+00:00
130,130,moderate,2024-04-04 09:30:00+00:00
131,132,moderate,2024-04-04 10:00:00+00:00
136,133,moderate,2024-04-04 10:30:00+00:00
134,132,moderate,2024-04-04 11:00:00+00:00
140,126,moderate,2024-04-04 11:30:00+00:00
136,126,moderate,2024-04-04 12:00:00+00:00
131,128,moderate,2024-04-04 12:30:00+00:00
131,132,moderate,2024-04-04 13:00:00+00:00
137,135,moderate,2024-04-04 13:30:00+00:00
143,142,moderate,2024-04-04 14:00:00+00:00
153,150,moderate,2024-04-04 14:30:00+00:00
156,155,moderate,2024-04-04 15:00:00+00:00
163,158,moderate,2024-04-04 15:30:00+00:00
146,159,moderate,2024-04-04 16:00:00+00:00
162,161,moderate,2024-04-04 16:30:00+00:00
144,163,moderate,2024-04-04 17:00:00+00:00
166,166,moderate,2024-04-04 17:30:00+00:00
164,159,moderate,2024-04-04 18:00:00+00:00
168,150,moderate,2024-04-04 18:30:00+00:00
158,140,moderate,2024-04-04 19:00:00+00:00
145,119,moderate,2024-04-04 19:30:00+00:00
118,100,low,2024-04-04 20:00:00+00:00
107,82,low,2024-04-04 20:30:00+00:00
95,70,low,2024-04-04 21:00:00+00:00
86,64,low,2024-04-04 21:30:00+00:00
71,58,low,2024-04-04 22:00:00+00:00
80,61,low,2024-04-04 22:30:00+00:00
75,54,low,2024-04-04 23:00:00+00:00
67,58,low,2024-04-04 23:30:00+00:00
57,55,low,2024-04-05 00:00:00+00:00
62,54,low,2024-04-05 00:30:00+00:00
57,48,low,2024-04-05 01:00:00+00:00
54,48,low,2024-04-05 01:30:00+00:00
55,49,low,2024-04-05 02:00:00+00:00
52,50,low,2024-04-05 02:30:00+00:00
50,48,low,2024-04-05 03:00:00+00:00
50,47,low,2024-04-05 03:30:00+00:00
48,47,low,2024-04-05 04:00:00+00:00
44,46,low,2024-04-05 04:30:00+00:00
47,50,low,2024-04-05 05:00:00+00:00
47,50,low,2024-04-05 05:30:00+00:00
44,53,low,2024-04-05 06:00:00+00:00
45,48,low,2024-04-05 06:30:00+00:00
47,48,low,2024-04-05 07:00:00+00:00
44,42,low,2024-04-05 07:30:00+00:00
41,37,low,2024-04-05 08:00:00+00:00
43,28,very low,2024-04-05 08:30:00+00:00
47,27,very low,2024-04-05 09:00:00+00:00
26,25,very low,2024-04-05 09:30:00+00:00
30,26,very low,2024-04-05 10:00:00+00:00
25,25,very low,2024-04-05 10:30:00+00:00
25,22,very low,2024-04-05 11:00:00+00:00
27,22,very low,2024-04-05 11:30:00+00:00
22,21,very low,2024-04-05 12:00:00+00:00
22,23,very low,2024-04-05 12:30:00+00:00
23,23,very low,2024-04-05 13:00:00+00:00
22,22,very low,2024-04-05 13:30:00+00:00
22,22,very low,2024-04-05 14:00:00+00:00
22,23,very low,2024-04-05 14:30:00+00:00
22,24,very low,2024-04-05 15:00:00+00:00
22,26,very low,2024-04-05 15:30:00+00:00
24,30,very low,2024-04-05 16:00:00+00:00
27,34,very low,2024-04-05 16:30:00+00:00
34,35,low,2024-04-05 17:00:00+00:00
35,35,low,2024-04-05 17:30:00+00:00
36,39,low,2024-04-05 18:00:00+00:00
34,41,low,2024-04-05 18:30:00+00:00
38,36,low,2024-04-05 19:00:00+00:00
41,39,low,2024-04-05 19:30:00+00:00
43,41,low,2024-04-05 20:00:00+00:00
39,44,low,2024-04-05 20:30:00+00:00
43,41,low,2024-04-05 21:00:00+00:00
45,50,low,2024-04-05 21:30:00+00:00
50,47,low,2024-04-05 22:00:00+00:00
50,48,low,2024-04-05 22:30:00+00:00
49,48,low,2024-04-05 23:00:00+00:00
52,47,low,2024-04-05 23:30:00+00:00
49,48,low,2024-04-06 00:00:00+00:00
47,46,low,2024-04-06 00:30:00+00:00
49,46,low,2024-04-06 01:00:00+00:00
48,46,low,2024-04-06 01:30:00+00:00
