time,temperature_2m,relative_humidity_2m,wind_speed_10m,apparent_temperature
2024-04-03 00:00:00,10.5,87,24.9,6.4
2024-04-03 01:00:00,10.2,88,19.5,6.9
2024-04-03 02:00:00,10.0,91,17.1,7.2
2024-04-03 03:00:00,10.1,92,16.2,7.4
2024-04-03 04:00:00,10.3,92,15.9,7.8
2024-04-03 05:00:00,10.5,91,16.2,7.9
2024-04-03 06:00:00,10.5,92,18.0,7.6
2024-04-03 07:00:00,11.2,91,19.1,8.3
2024-04-03 08:00:00,11.5,90,20.8,8.4
2024-04-03 09:00:00,11.8,86,18.4,9.0
2024-04-03 10:00:00,12.0,82,28.2,7.7
2024-04-03 11:00:00,12.4,81,24.0,8.7
2024-04-03 12:00:00,14.2,69,31.5,9.2
2024-04-03 13:00:00,13.7,69,29.6,8.9
2024-04-03 14:00:00,14.0,66,34.9,8.4
2024-04-03 15:00:00,14.0,62,32.2,8.5
2024-04-03 16:00:00,13.5,62,30.5,8.2
2024-04-03 17:00:00,13.3,63,25.5,8.7
2024-04-03 18:00:00,12.5,67,21.6,8.5
2024-04-03 19:00:00,11.1,76,18.4,7.7
2024-04-03 20:00:00,10.2,82,17.3,6.9
2024-04-03 21:00:00,9.5,82,14.6,6.5
2024-04-03 22:00:00,10.1,77,15.7,6.9
2024-04-03 23:00:00,9.7,86,12.3,7.3
2024-04-04 00:00:00,9.5,91,11.0,7.4
2024-04-04 01:00:00,10.5,91,15.2,8.1
2024-04-04 02:00:00,11.1,93,18.4,8.5
2024-04-04 03:00:00,11.4,92,21.2,8.3
2024-04-04 04:00:00,10.9,91,21.0,7.7
2024-04-04 05:00:00,10.2,91,22.0,6.7
2024-04-04 06:00:00,10.5,89,23.8,6.8
2024-04-04 07:00:00,10.7,87,26.2,6.5
2024-04-04 08:00:00,11.3,82,26.8,6.9
2024-04-04 09:00:00,12.3,73,28.6,7.6
2024-04-04 10:00:00,13.3,70,25.0,9.1
